created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Nov 03 03:01:10 +0000 2023;1720274893080785044;"@Ferdyan_SN @LtdAkbar Yg menolak kebijakan globalis pasti diincar. Ibu Siti Fadilah Menkes era SBY menolak flu burung jd pandemi di Indonesia, beliau memaparkan langsung ke WHO, tak lama dikriminalkan dgn tuduhan korupsi   dr. Terawan dicopot dari jabatannya karena menolak beli vaksin covid kala itu.";0;1;4;2;in;253865124;1720077817374011483;mas_prasetiyo;https://twitter.com/mas_prasetiyo/status/1720274893080785044
Tue Oct 17 01:59:20 +0000 2023;1714098739466707110;"@KAI121 Halo Min, ayah saya belum melakukan vaksinasi covid sama sekali dengan usia 50 th. Apakah bisa melakukan perjalanan dengan KAI ke Surabaya?";0;1;0;0;in;1243771268144365568;1714098739466707110;yahoohoniess;https://twitter.com/yahoohoniess/status/1714098739466707110
Tue Oct 17 01:54:31 +0000 2023;1714097525458944279;"@KAI121 Halo Min, ayah saya belum melakukan vaksinasi covid dengan usia 50 th. Apakah bisa melakukan perjalanan dengan KAI ke Surabaya?";0;1;0;0;in;1243771268144365568;1714097525458944279;yahoohoniess;https://twitter.com/yahoohoniess/status/1714097525458944279
Mon Oct 09 02:05:33 +0000 2023;1711201202401337596;"Lowongan Kerja Lidah Buaya Group  SALES  Kualifikasi : Usia maksimal 35 tahun Pendidikan minimal SMA/SMK sederajat Sudah vaksin Covid-19 minimial dosis kedua Penempatan di Purwokerto, Cirebon, dan Surabaya  Selengkapnya di: https://t.co/melAx88169";0;0;0;0;in;1237416418338992130;1711201202401337596;karirpurwokerto;https://twitter.com/karirpurwokerto/status/1711201202401337596
Thu Aug 31 13:07:52 +0000 2023;1697234750627533198;"3. Hal tersebut selaras dengan program pemerintah yakni tentang Penanggulangan Penyakit TBC di lingkungan kota Surabaya serta akselerasi capaian vaksinasi COVID-19.  #PTPALIndonesia #BUMNUntukIndonesia #WorldClassCompany";0;0;0;1;in;737183024295469056;1697234589931254067;PTPAL_INDONESIA;https://twitter.com/PTPAL_INDONESIA/status/1697234750627533198
Thu Aug 31 13:07:13 +0000 2023;1697234589931254067;"1. Surabaya (31/08) Dalam karyawan yang sehat terdapat semangat kerja yang kuat. Upaya peningkatan kesehatan para InsanPAL merupakan sebuah kewajiban. Salah satunya melalui kolaborasi bersama Dinas Kesehatan Pemkot Surabaya pada giat Akselerasi Vaksinasi COVID-19 dan Skrining TBC https://t.co/g5IOS2TBv3";0;1;1;5;in;737183024295469056;1697234589931254067;PTPAL_INDONESIA;https://twitter.com/PTPAL_INDONESIA/status/1697234589931254067
Tue Aug 29 03:15:30 +0000 2023;1696360900314402889;"@ch_chotimah2 @jokowi @mohmahfudmd @Dr_Moeldoko Prabowo memang ikut orba pro amerika.SBY juga pro amerika. Prabowo lupa waktu covid19 dia dapat vaksin banyak dari cina. Andai ingin kalahkan cina dgn membeli pesawat F-15EX sepertinya gak mungkin ya.";0;0;0;0;in;2373724154;1696076188236869673;yudiwijayaa;https://twitter.com/yudiwijayaa/status/1696360900314402889
Mon Aug 14 02:45:10 +0000 2023;1690917449850617856;"Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 14 Agustus 2023 #VaksinCovid-19 https://t.co/6I8PJkGhs0";0;0;0;0;in;79130206;1690917449850617856;jpnncom;https://twitter.com/jpnncom/status/1690917449850617856
Sat Aug 12 02:34:07 +0000 2023;1690189893044150274;"Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 12 Agustus 2023 #VaksinCovid-19 https://t.co/ddHwVopCCO";0;0;0;0;in;79130206;1690189893044150274;jpnncom;https://twitter.com/jpnncom/status/1690189893044150274
Thu Aug 10 02:34:07 +0000 2023;1689465119942541312;"Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 10 Agustus 2023 #VaksinCovid-19 https://t.co/41gKWf01HC";0;0;0;0;in;79130206;1689465119942541312;jpnncom;https://twitter.com/jpnncom/status/1689465119942541312
Wed Aug 09 03:05:10 +0000 2023;1689110544903786496;"Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 9 Agustus 2023 #VaksinCovid-19 https://t.co/Cas15bCyqV";0;0;0;0;in;79130206;1689110544903786496;jpnncom;https://twitter.com/jpnncom/status/1689110544903786496
Thu Aug 03 01:35:47 +0000 2023;1686913721011240961;"Di era SBY berkali2 Cukong vaksin ingin membuat pandemi, tapi ditolak Menkes, bukti pertahanan kuat.  Di era JKW: mbloboss, lemah, pandemi &amp  propaganda C19 masuk bebas, hasilnya menyengsarakan rakyat &amp  Korupsi besar-besaran. tapi dengan bangga menyatakan KERJANYA BERHASIL SUKSES";0;0;0;0;in;1324224517133094912;1686913721011240961;Aditlasri3;https://twitter.com/Aditlasri3/status/1686913721011240961
Wed Jul 19 06:35:09 +0000 2023;1681553241774129158;"#BeritaJatim  Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 19 Juli 2023 #infovaksinsurabaya #vaksinbooster  https://t.co/Y8S3TZvbKC";0;0;0;0;in;79130206;1681553241774129158;jpnncom;https://twitter.com/jpnncom/status/1681553241774129158
Tue Jul 11 05:58:11 +0000 2023;1678644838676275200;"#BeritaJatim  Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 11 Juli 2023 #infovaksinsurabaya #vaksinbooster  https://t.co/ig9NRiIJVt";0;0;0;0;in;79130206;1678644838676275200;jpnncom;https://twitter.com/jpnncom/status/1678644838676275200
Tue Jul 11 05:20:18 +0000 2023;1678635302292795393;"Hallo Sahabat RS. Bhayangkara H.S. Samsoeri Mertojoso Surabaya, Kuota Vaksinasi Covid-19 "INAVAC" sudah tersedia , GRATISS !😍 Yuk buruan yang mau daftar, kuota terbatas yaaa... Pelayanan Vaksinasi kami buka setiap hari Senin - Jum'at (08.00 - 12.00 WIB). https://t.co/qc7zbRf5Ch";0;0;0;0;in;1382170112849899527;1678635302292795393;RSBsby;https://twitter.com/RSBsby/status/1678635302292795393
Mon Jul 10 05:10:03 +0000 2023;1678270333948932097;"#BeritaJatim  Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 10 Juli 2023 #infovaksinsurabaya #vaksinbooster  https://t.co/9vrdrPLA9Q";0;0;0;0;in;79130206;1678270333948932097;jpnncom;https://twitter.com/jpnncom/status/1678270333948932097
Sat Jul 08 04:27:39 +0000 2023;1677534891733573633;"#BeritaJatim  Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 8 Juli 2023 #infovaksinsurabaya #vaksinbooster  https://t.co/DTFxmDAe9H";0;0;0;0;in;79130206;1677534891733573633;jpnncom;https://twitter.com/jpnncom/status/1677534891733573633
Fri Jul 07 08:04:58 +0000 2023;1677227191275491329;"#BeritaJatim  Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 7 Juli 2023 #infovaksinsurabaya #vaksinbooster https://t.co/uA4IdRMnfu";0;0;0;0;in;79130206;1677227191275491329;jpnncom;https://twitter.com/jpnncom/status/1677227191275491329
Thu Jul 06 03:46:52 +0000 2023;1676799850682392576;"#BeritaJatim  Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 6 Juli 2023 #infovaksinsurabaya #vaksinbooster  https://t.co/F7S6hudm0N";0;0;0;0;in;79130206;1676799850682392576;jpnncom;https://twitter.com/jpnncom/status/1676799850682392576
Wed Jul 05 08:00:44 +0000 2023;1676501351147397120;"#BeritaJatim  Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 5 Juli 2023 #infovaksinsurabaya #vaksinbooster  https://t.co/Ykw5sBuIZN";0;0;0;0;in;79130206;1676501351147397120;jpnncom;https://twitter.com/jpnncom/status/1676501351147397120
Tue Jul 04 02:59:23 +0000 2023;1676063127451103232;"#BeritaJatim  Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 4 Juli 2023 #infovaksinsurabaya #vaksinbooster https://t.co/2OTYk36nrh";0;0;0;0;in;79130206;1676063127451103232;jpnncom;https://twitter.com/jpnncom/status/1676063127451103232
Mon Jul 03 03:53:31 +0000 2023;1675714359069396993;"#BeritaJatim  Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 3 Juli 2023 #infovaksinsurabaya #vaksinbooster  https://t.co/gpeA44SmjT";0;0;0;0;in;79130206;1675714359069396993;jpnncom;https://twitter.com/jpnncom/status/1675714359069396993
Sat Jul 01 05:42:28 +0000 2023;1675017001683779585;"#BeritaJatim  Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 1 Juli 2023 #infovaksinsurabaya #vaksinbooster  Artikel ini telah tayang diJPNN.comdengan judul "Jadwal dan Lokasi Vaksin Covid-19 Surabaya Hari Ini 1 Juli 2023", https://t.co/eUXO7oKH9Q";0;0;0;0;in;79130206;1675017001683779585;jpnncom;https://twitter.com/jpnncom/status/1675017001683779585
